dataset,sample_size,seed,iteration,split,method,accuracy,macro_f1,delta_vs_vanilla,delta_vs_random_aug,per_class_accuracy_delta,result_file
sst2,4,2,,,error_driven,50.52169137836353,34.80937140541281,-13.179571663920932,-2.3064250411861735,"{""0"": -66.44736842105263, ""1"": 40.264026402640276}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-2/error_driven.json
sst2,4,2,,,random_aug,52.8281164195497,39.52820651596131,-10.873146622734758,0.0,"{""0"": 31.68859649122807, ""1"": -53.575357535753575}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-2/random_aug.json
sst2,4,2,,,vanilla,63.70126304228446,63.63454268439137,0.0,10.873146622734758,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-2/vanilla.json
sst2,4,3,,,error_driven,49.86271279516749,33.27226090142909,-8.237232289950576,-11.3673805601318,"{""0"": -52.960526315789465, ""1"": 36.633663366336634}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-3/error_driven.json
sst2,4,3,,,random_aug,61.23009335529929,61.22914631057069,3.1301482701812233,0.0,"{""0"": 8.66228070175439, ""1"": -2.420242024202423}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-3/random_aug.json
sst2,4,3,,,vanilla,58.099945085118065,57.992723978912665,0.0,-3.1301482701812233,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-3/vanilla.json
sst2,4,4,,,error_driven,61.61449752883031,61.60782876610068,0.4393190554640256,-5.271828665568364,"{""0"": 0.7675438596491233, ""1"": 0.11001100110011208}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-4/error_driven.json
sst2,4,4,,,random_aug,66.88632619439868,66.47378495052419,5.71114772103239,0.0,"{""0"": -3.728070175438596, ""1"": 15.18151815181519}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-4/random_aug.json
sst2,4,4,,,vanilla,61.17517847336629,61.164638246156045,0.0,-5.71114772103239,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-4/vanilla.json
sst2,4,5,,,error_driven,50.57660626029654,35.019982871824155,-7.468423942888521,-1.3728720483250925,"{""0"": 24.342105263157904, ""1"": -39.38393839383938}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-5/error_driven.json
